strang,  range
stamach, stomach
shure, sure
beatiful, beautiful
bilut, built
miner, minor
sathon, southern
ouful, awful
scarcily, scarcely
inushiols, initials
recipt, receipt
caurt, court
rayin, reign
inconveniant, inconvenient
saccessful, successful
garanty, guarantee
cocking, cooking
stalk, steak
vegestables, vegetables
addmited, admitted
recived, received
celibrate, celebrate
noticeble, noticeable
purpel, purple
biquits, biscuits
veries, various
paper, purple
refreshements, refreshments
juce, juice
noticable, noticeable
stomache, stomach
magnificient, magnificent
purpole, purple
juce, juice
varies, various
magnificant, magnificent
juise, juice
stommac, stomach
magnificend, magnificent
oposide, opposite
galary, gallery
splended, splendid
purble, purple
jous, juice
biscuids, biscuits
contended, contented
dinning, dining
recieved, received
babys, babies
dinning, dining
noticable, noticeable
splendude, splendid
poetrie, poetry
pretent, pretend
juce, juice
bisuts, biscuits
stomac, stomach
diging, digging
potateos, potatoes
diening, dining
magnificient, magnificent
spendide, splendid
purpose, purple
noticable, noticeable
purpore, purple
cortains, curtains
pritend, pretend
dinning, dining
admited, admitted
noticable, noticeable
stomache, stomach
noticable, noticeable
poetery, poetry
noticable, noticeable
galery, gallery
noticable, noticeable
magnific, magnificent
galerie, gallery
purpil, purple
cartoons, curtains
poeterie, poetry
stomec, stomach
dinning, dining
noticable, noticeable
wemen, women
hall, whole
miner, minor
subben, southern
ssissors, scissors
sgulli, scarcely
enecial, initials
reciept, receipt
co-at, court
west, waist
rain, reign
inconvenite, inconvenient
garanty, guarantee
beatiful, beautiful
miner, minor
siccors, scissors
innicial, initials
rain, reign
inconvenciont, inconvenient
guarnty, guarantee
sissors, scissors
scarthly, scarcely
inicial, initials
reciet, receipt
remaind, remind
rain, reign
guarrantee, guarantee
grate, great
old, whole
clime, climb
bilt, built
miner, minor
southen, southern
cisers, scissors
sgusli, scarcely
bicicel, bicycle
recivd, receipt
rain, reign
inconvinient, inconvenient
signiter, signature
garantie, guarantee
womon, women
miner, minor
grussly, scarcely
innitial, initials
inconvinient, inconvenient
garatee, guarantee
unswer, answer
climbe, climb
becouse, because
scisser, scissors
scearsly, scarcely
bycicle, bicycle
initiaels, initials
receit, receipt
veist, waist
regn, reign
inconvinient, inconvenient
garantie, guarantee
weman, women
climbe, climb
becaurse, because
initiales, initials
receit, receipt
waiste, waist
inconviniant, inconvenient
garantie, guarantee
mainer, minor
auful, awful
bycicle, bicycle
iniziales, initials
cout, court
weist, waist
inconvinient, inconvenient
garantie, guarantee
southen, southern
owful, awful
cizeres, scissors
scearcery, scarcely
inicials, initials
riceet, receipt
waighst, waist
remaind, remind
lain, reign
sccesful, successful
garantee, guarantee
magnificient, magnificent
worte, wrote
peotry, poetry
understanded, understand
strang, strange
especial, special
buscuit, biscuits
contened, contented
peotetoes, potatoes
dinning, dining
recieved, received
comming, coming
unt, aunt
magnificant, magnificent
oposite, opposite
garly, gallery
purpul, purple
powertary, poetry
understanded, understand
bicekets, biscuits
contended, contented
verious, various
dinning, dining
admited, admitted
recieved, received
vonus, bonus
celebulate, celebrate
dag, dug
noticible, noticeable
magnicisant, magnificent
oppsit, opposite
garary, gallery
sprended, splendid
catain, curtains
poemtly, poetry
problum, problem
pritened, pretend
refreciment, refreshment
biskets, biscuits
stomuck, stomach
verious, various
vegitables, vegetables
potetoes, potatoes
addmited, admitted
recived, received
bornas, bonus
serevelate, celebrate
dog, dug
arnt, aunt
lifed, lived
oposite, opposite
remembre, remember
splended, splendid
nowbody, nobody
jus, juice
stomache, stomach
life, live
baby's, babies
becaurse, because
have, half
dinning, dining
ant, aunt
courteins, curtains
blu, blue
babyes, babies
pond, pound
receved, received
celebate, celebrate
ant, aunt
magnificient, magnificent
galary, gallery
splendide, splendid
purper, purple
poretry, poetry
juse, juice
cocking, cooking
offer, half_a
stake, steak
varous, various
vegtebels, vegetables
frid, fried
admited, admitted
noticebel, noticeable
ount, aunt
oposite, opposite
splended, splendid
pouetry, poetry
lateyst, latest
points, poems
straings, strange
refreshmend, refreshment
buscuits, biscuits
diging, digging
becouse, because
vegatables, vegetables
inclueding, including
fruit, fried
pothetous, potatoes
dinnig, dining
admited, admitted
bounes, bonus
progrese, progress
suns, sons
forewerd, forward
ant, aunt
stasion, station
varies, various
magnifinct, magnificent
galery, gallery
splened, splendid
protery, poetry
pouims, poems
stranger, strange
lough, laugh
realy, really
juis, juice
varios, various
dicking, digging
addimitt, admitted
recievd, received
celibarate, celebrate
hes, his
prepearing,  preparing
goverment,  government
diplomatic,  diplomat
arrived,  arrive
settled,  settle
comming,  coming
rithm,  rhythm
bolss,  waltz
drank,  drink
quickle,  quickly 
jouvenile,  juvenile
compeared,  compare
beatiful,  beautiful
togegether,  together
smelly,  smelling
and,  an
envolving,  involving
beggining,  beginning
ilness,  illness
epidemia,  epidemic
hig,  high
dieing,  dying
decsese,  disease
confussion,  confusion
quick,  quickly
carefuly,  carefully
takeing,  taking
acount,  account
aproach,  approach
exposition,  exhibition
disconected,  disconnected
though,  thought
heefty,  hefty
adress,  address
anual,  annual
explanations,  explanation
sincerly,  sincerely
cluching,  clutching
mentaly,  mentally
loudspeakers,  loud-speakers
ballons,  balloons
girle,  girl
brethless,  breathless
siluhete,  silhouette
a,  at
whent,  went
let,  let's
finaly,  finally
exausted,  exhausted
heavely,  heavily
fell,  feel
grabed,  grabbed 
jumed,  jumped
publiclly,  publicly
excelent,  excellent
wich,  which
symthoms,  symptoms
contageous,  contagious
whater,  water
begining,  beginning
nobady,  nobody
happenin,  happening
sou,  so
occures,  occurs
innecessary,  unnecessary
aroused,  arose
welcomed,  welcome
mayer,  mayor
renion,  reunion 
epidemy,  epidemic
inquiry, inquire
inconveniencies,  inconvenience
bycicle,  bicycle
attened,  attend
damadged,  damaged
their,  there
belive,  believe
stollen,  stolen 
were,  where
there, their
deliceaus,  delicious
persent,  percentage
citizen,  citizens
has,  have
informe,  inform
poluted,  polluted
want,  wants
preventions,  prevention
problems,  problem
answered,  answer
sended,  sent
hollidays,  holidays
familly,  family
youngest,  younger
an,  and
wanted,  want
hatred,  hated
had,  have
radios,  radio
sympthoms,  symptoms
affraid,  afraid
measurment,  measurement
this,  these 
measurments,  measurements
poralised,  paralysed
asked,  ask
earl,  early
comb,  combed
breath,  breathed
calm,  calmed
through,  threw
appologized,  apologized 
simptoms,  symptoms
atribute,  attribute
conditions,  condition
pannic,  panic
cielings,  ceilings
being,  been
depressive,  depressing
sincerly,  sincerely
lazely,  lazily
triped,  tripped
huredly,  hurriedly
fool,  full
toasts,  toast
stoped,  stopped
acused,  accused
coping,  copying
naught,  nought
severly,  severely
apset,  upset
leve,  leave
couvered,  covered
forgot,  forgotten
neiboughs,  neighbours
ran,  rang
accuratley,  accurately
expiriences,  experiences
sincearly,  sincerely
non_written, unwritten
adolescence,  adolescents
possitive,  positive
desesperate,  desperate
fells, falls
loosing,  losing
this,  these
flabbergusted,  flabbergasted
destruct,  destroy
prevention,  preventative
corse,  curse
suttle,  subtle
turqoise,  turquoise
diminute,  diminutive
center,  centre
suprise,  surprise
surveilance,  surveillance
revicing,  revising
knowleage,  knowledge
luxurius,  luxurious
syntethic,  synthetic
meters,  metres
entretainments,  entertainments
an,  a
hippoppotammus,  hippopotamus 
suppossed,  supposed
loose,  lose
any_way  anyway
relative  relativelyI
injures,  injuries
masochist,  masochistic
misfits,  misfortunes
comparing,  compared
trottle,  throttle
bursting,  busting 
ungentleman,  ungentelmanly
quolity,  quality
allowed,  allow
signaled,  signalled
writting,  writing
advise,  advice 
proceedure,  procedure
this,  these
shopkeeper,  shopkeepers
suplier,  supplier
sincerelly,  sincerely
threw,  through
defficience,  deficiency
specially,  especially
off,  of
the,  they
earthyless, unearthly
realy,  really
knight,  night
ilness,  illness
simptoms,  symptoms
whotch,  watch
enything,  anything
lied,  layed 
outcoming,  approaching
precarian,  precarious
pinturesque,  picturesque
suprise,  surprise
unwelcomed,  unwelcome
citizen,  citizens
som,  some
constructions,  contruction
beggining,  beginning
require,  required
have,  had
my,  me 
bussiness,  business
hiting,  hitting
aboundant,  abundant
is,  are
dont,  don't
varies,  vary
knoledge  knowledge 
cyvilisation,  civilization
hidrolic,  hydrolic
Scotish,  Scottish
variouse,  various
unfunded,  unfounded
assition,  assertion
tyme,  time
canceled,  cancelled
simptoms,  symptoms
epatitis,  hepatitis
uncleaned,  unclean
arange,  arrange
disafortunated  unfortunate
everithing,  everything
fantastical,  fantastic
desesparate,  desperate
chose,  chosen
cocounut,  coconut
type,  types
tipical,  typical
transpearent,  transparent
swiming,  swimming
to,  too
sceneries,  scenery
meters,  metres
invits,  invites
stayed,  stay
dieing,  dying
apriciate,  appreciate
broard,  broad
intension,  intention
attencion,  attention
sincerly,  sincerely
independant,  independent
multicolour,  multicoloured
bath,  bathe
dissapointing,  disappointing
visiters,  visitors
responsable,  responsible
representant, representative
quiver,  quivering
frighten,  fright
is,  are
unkown,  unknown 
epoches,  epochs
labourious,  laborious
custumes,  customs
beleivings,  beliefs
neighbour,  neighbours'
mistly,  mysterious
feared,  afraid
imerged,  emerged
umblemished,  unblemished
unwelcomed,  unwelcome
ninghty,  ninety
twinkled,  twinkling
writting,  writing
overtake,  overcome
tragical,  tragic
inconvenient,  inconvenience
families,  family
governs,  govern
futur,  future
conduces,  conducts
for,  from
standards,  standard
evolutioned,  evolved
the,  their
works,  work
completly,  completely
will,  would
doubtfull,  doubtful
save,  safe
were,  where
were,  where 
hole,  whole
fotographs,  photographs
sensation,  impression
nicelly,  nicely
glas,  glass 
excepted,  accepted
laughter,  laughted 
couse,  course
parent,  parents
widelly,  widely
afections,  affections
maner,  manner
experiensed,  experienced
this,  these
send,  sent
vaccins,  vaccines
consecuence,  consequence
greatful,  grateful
attracting,  attractive
kind,  kinds
word,  world
as,  like
colour,  coloured
effort,  efforts
worser,  worse
Friday  Friday
spoke,  speak
pareants,  parents
divorce,  divorced
sicologist,  psychologist
can,  could
on,  about
did,  had
continue,  continued
riding,  reading
discover,  discovered
understand,  understood
think,  thought
realised,  realise
knew,  know
screem,  scream
runned,  ran
enter,  entered
die,  died
childrens  children
rang,  ring
lean,  leant
abilty,  ability
abraod,  abroad
acedemic,  academic
accesion,  accession
accomodate,  accommodate
acordance,  accordance
accruately,  accurately
acieved,  achieved
accheived,  achieved
additonal,  additional
adjacnt,  adjacent
admiistered,  administered
amibuity,  ambiguity
ambulence,  ambulance
anlaysis,  analysis
aand,  and
aswering,  answering
apolgies,  apologies
apparant,  apparent
apperently,  apparently
appraoch,  approach
appropriat,  appropriate
appropiate,  appropriate
apprpriate,  appropriate
approximatly,  approximately
arguements,  arguments
acsertained,  ascertained
assigmments,  assignments
assistence,  assistance
assiciated,  associated
assocaited,  associated
asociation,  association
asyncronously,  asynchonously
atending,  attending
autumatic,  automatic
avaiable,  available
aviable,  available
avilable,  available
awaitin,  awaiting
baiscally,  basically
bacome,  become
bloked,  blocked
borrowr,  borrower
braching,  branching
broard,  broad
bradcast,  broadcast
bradcasting,  broadcasting
bulletings,  bulletins
calulated,  calculated
camara,  camera
canditate,  candidate
capabiltes,  capabilities
cataloge,  catalogue
catakoguing,  cataloguing
catalguing,  cataloguing
cataloguin,  cataloguing
cntral,  central
challange,  challenge
chnaging,  changing
characterissing,  characterising
chacked,  checked
cisting,  citing
cleint,  client
coeffcient,  coefficient
coeficient,  coefficient
cofficient,  coefficient
cogntive,  cognitive
collecyting,  collecting
cpmmercially,  commercially
commitee,  committee
comon,  common
commenest,  commonest
communcation,  communication
comporable,  comparable
comparitive,  comparative
compariosns,  comparisons
complting,  completing
complementary,  complimentary
concetrate,  concentrate
connecton,  connection
connectivies,  connectives
conservatie,  conservative
contining,  containing
contins,  contains
conitent,  content
controll,  control
convential,  conventional
converzely,  conversely
coversion,  conversion
cooperqtion,  cooperation
cordonning,  cordoning
corresond,  correspond
correspondance,  correspondence
councelling,  counselling
critisised,  criticised
critisisms,  criticisms
decid,  decide
decresing,  decreasing
deficite,  deficit
definate,  definite
definately,  definitely
degredation,  degradation
deliberatly,  deliberately
dependant,  dependent
descrived,  described
desireble,  desirable
dispatched,  despatched
desparate,  desperate
detaile,  detail
detailled,  detailed
detrmines,  determines
deveoop,  develop
diagramatically,  diagrammatically
differnt,  different
disapointment,  disappointment
distibution,  distribution
doculents,  documents
odne,  done
donstream,  downstream
eaxh,  each
eassier,  easier
effeiciency,  efficiency
efficienct,  efficient
elimiation,  elimination
eleimination,  elimination
eminating,  emanating
enrergy,  energy
netry,  entry
enviroment,  environment
invironment,  environment
equilisation,  equalisation
examiniation,  examination
exmple,  example
excede,  exceed
exemplyfied,  exemplified
exta,  extra
facillated,  facilitated
facilites,  facilities
faciliities,  facilities
fairlu,  fairly
faiyhfully,  faithfully
fassion,  fashion
feld,  field
irst,  first
firtly,  firstly
fisrtly,  firstly
felxibility,  flexibility
foreseeable,  forseeable
frquently,  frequently
funcional,  functional
futher,  further
genral,  general
glacnce,  glance
govermental,  governmental
gretaer,  greater
hanbook,  handbook
hieghtened,  heightened
heuritics,  heuristics
heirarchy,  hierarchy
homr,  home
hoenst,  honest
howver,  however
howevever,  however
ilustrate,  illustrate
illustartion,  illustration
immediatly,  immediately
impotant,  important
importnat,  important
impossibilty,  impossibility
impractible,  impracticable
innapropriate,  inappropriate
increasinly,  increasingly
increented,  incremented
independance,  independence
independant,  independent
individula,  individual
indiviual,  individual
indidual,  individual 
undividually,  individually
innefficient,  inefficient
ineviatbly,  inevitably
infromation,  information
onformation,  information
instal,  install
niternational,  international
internationlly,  internationally
intercine,  internecine
interprte,  interpret
interrpted,  interrupted
interuption,  interruption
infroduction,  introduction
invlving,  involving
tiem,  item
juridiction,  jurisdiction
kernal,  kernel
lagre,  large
mlarge,  large
lenght,  length
liase,  liaise
libraies,  libraries
ight,  light
likelyhood,  likelihood
likly,  likely
lits,  list
listsings,  listings
lsits,  lists
laoned,  loaned
logarihm,  logarithm
mianly,  mainly
mainenance,  maintenance
managable,  manageable
maniputaltation,  manipulation
amnner,  manner
maenas,  means
egabytes,  megabytes
modiefied,  modified
moleclar,  molecular
molcular,  molecular
nost,  most
omve,  move
needd,  need
nedded,  needed
negitively,  negatively
netowrks,  networks
noticieable,  noticeable
numbeer,  number
obselete,  obsolete
obvios,  obvious
obviosly,  obviously
occassional,  occasional
ofice,  office
ommissions,  omissions
onlt,  only
poerator,  operator
apposed,  opposed
oredr,  order
organisatios,  organisations
ouput,  output
overal,  overall
overcomming,  overcoming
overfil,  overfill
overhaed,  overhead
ovygex,  oxygen
particualar,  particular
particlar,  particular
periferal,  peripheral
permantly,  permanently
phlology,  philology
pinic,  picnic
peices,  pieces
positve,  positive
possibilty,  possibility
posible,  possible
potentialy,  potentially
practiaal,  practical
practictioner,  practitioner
predominently,  predominantly
preuming,  presuming
previos,  previous
prioities,  priorities
prsioners,  prisoners
probabally,  probably
probanly,  probably
pronlem,  problem
proceedure,  procedure
proceure,  procedure
prcessing,  processing
procesing,  processing
procesor,  processor
produts,  products
pronouncments,  pronouncements
proportionallity,  proportionality
prooved,  proved
provid,  provide
quailty,  quality
quesionnaire,  questionnaire
radiaclly,  radically
radiuss,  radius
rankd,  ranked
reactioos,  reactions
reactioons,  reactions
reasinably,  reasonably
reciever,  receiver
redecoraton,  redecoration
refernce,  reference
rference,  reference
refernces,  references
referrred,  referred
refferred,  referred
regsirties,  registries
reltionship,  relationship
relable,  reliable
renoved,  removed
repititious,  repetitious
reoprts,  reports
represntatives,  representatives
rsembling,  resembling
recources,  resources
rescources,  resources
resing,  resting
restictive,  restrictive
retentiaon,  retention
retecent,  reticent
revenu,  revenue
siad,  said
satsfactory,  satisfactory
satifies,  satisfies
scaned,  scanned
srambled,  scrambled
seaarch,  search
searchde,  searched
salected,  selected
seleactive,  selective
sepaphore,  semaphore
seperate,  separate
seprate,  separate
seperating,  separating
simialirt,  similarity
similariy,  similarity
similarily,  similarly
simlest,  simplest
sixze,  size
sizable,  sizeable
slighlty,  slightly
sciety,  society
sofware,  software
aource,  source
spaekers,  speakers
sprlling,  spelling
stnadard,  standard
strater,  starter
stetemets,  statements
ststion,  station
stratigically,  strategically
stongly,  strongly
structrue,  structure
strcture,  structure
structurs,  structures
suscribers,  subscribers
substantal,  substantial
subsructures,  substructures
succede,  succeed
successor,  succesor
uggested,  suggested
sorround,  surround
synshronise,  synchronise
tuaght,  taught
tequniques,  techniques
termial,  terminal
thrir,  their
thre,  there
thwre,  there
therfore,  therefore
thses,  theses
thrity,  thirty
thhis,  this
thousnand,  thousand
threee,  three
tittles,  titles
tollerance,  tolerance
traditonal,  traditional
trafic,  traffic
transfered,  transferred
ransmission,  transmission
unconviced,  unconvinced
uncritiacl,  uncritical
universit,  university
unecessary,  unnecessary
innecessary,  unnecessary
unscamble,  unscramble
usefullness,  usefulness
usueal,  usual
vqried,  varied
vectore,  vector
versility,  versatility 
waitng,  waiting   
wether,  whether     
wgich,  which   
whihc,  which   
whic,  which     
wiil,  will      
wondrful,  wonderful     
worht,  worth       
wouls,  would      
abbatoir,  abattoir   
abhorence,  abhorrence    
absense,  absence    
absorbant,  absorbent      
absorbtion,  absorption     
acceed,  accede      
acellerate,  accelerate   
accesible,  accessible      
accidently,  accidentally    
accomodate,  accommodate    
accomodation,  accommodation 
accomodations,  accommodations   
accompanimen,  accompaniment  
accompaning,  accompanying    
acomplice,  accomplice  
accrude,  accrued    
acrued,  accrued       
acumulated,  accumulated    
acustom,  accustom     
acheivement,  achievement    
acknowledgement,  acknowledgment  
acquantance,  acquaintance   
aquiese,  acquiesce       
acquiesence,  acquiescence    
aquire,  acquire      
actualy,  actually       
adaptibility,  adaptability   
additon,  addition      
adress,  address       
adaquately,  adequately     
ajacent,  adjacent       
adjorned,  adjourned      
adminstration,  administration  
admissable,  admissible     
admiting,  admitting    
advantagous,  advantageous    
advise,  advice       
afidavit,  affidavit     
agravated,  aggravated     
agast,  aghast        
agreable,  agreeable     
alloted,  allotted     
allso,  also       
alumni,  alumnae     
alumnae,  alumni        
amatuer,  amateur      
aimeable,  amiable    
aimiable,  amiable      
amonia,  ammonia      
analagous,  analogous    
anaylsis,  analysis      
analize,  analyze       
angell,  angel        
aniversary,  anniversary    
anniversery,  anniversary   
anouncement,  announcement    
annoiance,  annoyance    
anoyance,  annoyance     
anwser,  answer        
antartic,  antarctic     
anye,  any        
anythin,  anything       
appolo,  apollo       
appology,  apology       
aparent,  apparent     
appearence,  appearance     
appearin,  appearing     
appitite,  appetite       
appatites,  appetites       
appropiate,  appropriate     
apropriate,  appropriate     
apropriation,  appropriation   
approxomate,  approximate   
aproximate,  approximate     
approximatly,  approximately    
aproximately,  approximately   
archeological,  archaeological  
acertain,  ascertain      
assertain,  ascertain   
assinine,  asinine     
askin,  asking    
asleeep,  asleep      
assasinate,  assassinate     
assesment,  assessment     
assidious,  assiduous      
assistence,  assistance   
attornies,  attorneys       
authorative,  authoritative  
auxillary,  auxiliary     
avaliable,  available   
aukward,  awkward        
batchelor,  bachelor     
baloon,  balloon     
bananna,  banana      
bankrupcy,  bankruptcy    
baragining,  bargaining   
batallion,  battalion   
beame,  beam         
beefore,  before       
begining,  beginning   
beleive,  believe   
beligerant,  belligerent   
beneficient,  beneficent  
benificial,  beneficial     
bich,  bitch       
brakke,  brake       
bretheren,  brethren     
brieff,  brief        
britian,  britain    
britania,  britannia   
broun,  brown        
bungalo,  bungalow      
bouyancy,  buoyancy   
bouyant,  buoyant     
burried,  buried      
bushell,  bushel     
businesss,  business    
busness,  business   
buyin,  buying     
cancelation,  cancellation   
callin,  calling     
cantaloube,  cantaloupe    
carribean,  caribbean    
catologues,  catalogues     
catagorey,  category    
cemetary,  cemetery      
chauffuer,  chauffeur      
chemestry,  chemistry     
chimnies,  chimneys      
cincinatti,  cincinnati      
cleva,  clever        
coalesed,  coalesced 
coherant,  coherent 
colosium,  coliseum   
calateral,  collateral    
collosal,  colossal    
collosus,  colossus  
commaunded,  commanded    
commision,  commission     
committment,  commitment    
commitee,  committee      
comunicate,  communicate    
comparitive,  comparative    
comparitively,  comparatively   
conpendium,  compendium     
competant,  competent     
compitent,  competent    
consede,  concede    
concieve,  conceive   
concieved,  conceived     
condicions,  conditions   
confectionary,  confectionery  
confermation,  confirmation  
confusin,  confusing   
connoiseurs,  connoisseurs   
concience,  conscience    
conscientous,  conscientious   
concensus,  consensus     
consderin,  considering    
consistant,  consistent     
conpired,  conspired   
comsumer,  consumer       
contempible,  contemptible    
continious,  continuous     
continous,  continuous    
controlable,  controllable    
controvercy,  controversy     
controversey,  controversy    
conviently,  conveniently    
cooly,  coolly     
corderoy,  corduroy     
correspondance,  correspondence  
corrigated,  corrugated     
coud,  could        
countin,  counting    
countriman,  countryman   
craftman,  craftsman     
curiousity,  curiosity    
curicculum,  curriculum   
customery,  customary   
synical,  cynical    
darlin,  darling     
dicidely,  decidedly    
deam,  deem      
definately,  definitely     
definatly,  definitely    
deliguent,  delinquent    
delinquint,  delinquent     
dilirious,  delirious      
delvin,  delving     
denyin,  denying     
dependent,  dependant    
depeciation,  depreciation   
descendent,  descendant   
discription,  description   
dispair,  despair     
duece,  deuce      
devellope,  develop      
developement,  development    
dictionery,  dictionary     
dignatary,  dignitary    
dilapadated,  dilapidated    
diminsh,  diminish    
dinning,  dining       
